title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
The Shawshank Redemption,142,Crime;Drama,Frank Darabont,Stephen King;Frank Darabont,Tim Robbins;Morgan Freeman;Bob Gunton,9.3,1938721
The Godfather,175,Crime;Drama,Francis Ford Coppola,Mario Puzo;Francis Ford Coppola,Marlon Brando;Al Pacino;James Caan,9.2,1326537
The Godfather: Part II,202,Crime;Drama,Francis Ford Coppola,Francis Ford Coppola;Mario Puzo,Al Pacino;Robert De Niro;Robert Duvall,9.0,916978
The Dark Knight,152,Crime;Drama;Thriller,Christopher Nolan,Jonathan Nolan;Christopher Nolan,Christian Bale;Heath Ledger;Aaron Eckhart,9.0,1909390
12 Angry Men,96,Crime;Drama,Sidney Lumet,Reginald Rose;Reginald Rose,Henry Fonda;Lee J. Cobb;Martin Balsam,8.9,537892
Schindler's List,195,Biography;Drama;History,Steven Spielberg,Thomas Keneally;Steven Zaillian,Liam Neeson;Ralph Fiennes;Ben Kingsley,8.9,999805
The Lord of the Rings: The Return of the King,201,Adventure;Drama;Fantasy,Peter Jackson,J.R.R. Tolkien;Fran Walsh,Elijah Wood;Viggo Mortensen;Ian McKellen,8.9,1384118
Pulp Fiction,154,Crime;Drama,Quentin Tarantino,Quentin Tarantino;Roger Avary,John Travolta;Uma Thurman;Samuel L. Jackson,8.9,1515195
"Il buono, il brutto, il cattivo",161,Western,Sergio Leone,Luciano Vincenzoni;Sergio Leone,Clint Eastwood;Eli Wallach;Lee Van Cleef,8.9,575320
Fight Club,139,Drama,David Fincher,Chuck Palahniuk;Jim Uhls,Brad Pitt;Edward Norton;Meat Loaf,8.8,1553054
The Lord of the Rings: The Fellowship of the Ring,178,Adventure;Drama;Fantasy,Peter Jackson,J.R.R. Tolkien;Fran Walsh,Elijah Wood;Ian McKellen;Orlando Bloom,8.8,1403149
Forrest Gump,142,Drama;Romance,Robert Zemeckis,Winston Groom;Eric Roth,Tom Hanks;Robin Wright;Gary Sinise,8.8,1469082
Star Wars: Episode V - The Empire Strikes Back,124,Action;Adventure;Fantasy,Irvin Kershner,Leigh Brackett;Lawrence Kasdan,Mark Hamill;Harrison Ford;Carrie Fisher,8.8,975364
Inception,148,Action;Adventure;Sci-Fi,Christopher Nolan,Christopher Nolan,Leonardo DiCaprio;Joseph Gordon-Levitt;Ellen Page,8.8,1696546
The Lord of the Rings: The Two Towers,179,Adventure;Drama;Fantasy,Peter Jackson,J.R.R. Tolkien;Fran Walsh,Elijah Wood;Ian McKellen;Viggo Mortensen,8.7,1252831
One Flew Over the Cuckoo's Nest,133,Drama,Milos Forman,Lawrence Hauben;Bo Goldman,Jack Nicholson;Louise Fletcher;Michael Berryman,8.7,773418
Goodfellas,146,Biography;Crime;Drama,Martin Scorsese,Nicholas Pileggi;Nicholas Pileggi,Robert De Niro;Ray Liotta;Joe Pesci,8.7,836660
The Matrix,136,Action;Sci-Fi,Lana Wachowski;Lilly Wachowski,Lilly Wachowski;Lana Wachowski,Keanu Reeves;Laurence Fishburne;Carrie-Anne Moss,8.7,1393118
Shichinin no samurai,207,Adventure;Drama,Akira Kurosawa,Akira Kurosawa;Shinobu Hashimoto,Toshirô Mifune;Takashi Shimura;Keiko Tsushima,8.7,262874
Cidade de Deus,130,Crime;Drama,Fernando Meirelles;Kátia Lund,Paulo Lins;Bráulio Mantovani,Alexandre Rodrigues;Leandro Firmino;Matheus Nachtergaele,8.6,602873
Star Wars: Episode IV - A New Hope,121,Action;Adventure;Fantasy,George Lucas,George Lucas,Mark Hamill;Harrison Ford;Carrie Fisher,8.6,1047273
